license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1493885,HOGGIE HOUSE INC.,,,3,3143 W 51ST ST ,CHICAGO,IL,60632,41.8007213,-87.70307308,14
1493893,GILHOOLEY'S GRANDE SALOON,,Restaurant,1,3901 W 103RD ST ,CHICAGO,IL,60655,41.70582355,-87.71853995,19
1493907,EYES ON THE FUTURE,,Daycare Above and Under 2 Years,1,6969 N RAVENSWOOD AVE ,CHICAGO,IL,60626,42.00855801,-87.67518203,49
1493923,PIZZA KITCHEN,,,3,4434 W 59TH ST ,CHICAGO,IL,60629,41.78593047,-87.73411586,13
1493985,HOLY SPIRIT LUTHERAN ACADEMY AND EARLY CHILDHOOD CENTER,,,3,1430 W 100TH PL ,CHICAGO,IL,60643,41.71146832,-87.65752681,34
1494022,QUIZNOS SUB,,,3,3658 N CLARK ST ,CHICAGO,IL,60613,41.94868252,-87.65787955,44
1494091,COSTA ALEGRE,,Restaurant,1,2789 N MILWAUKEE AVE ,CHICAGO,IL,60647,41.93195638,-87.7119466,35
1494092,PETRA CAFE,,Restaurant,1,331 S FRANKLIN ST ,CHICAGO,IL,60606,41.87735119,-87.63504277,42
1494120,TAQUERIA CASA GARCIA,,,3,5134 W GRAND AVE ,CHICAGO,IL,60639,41.91697889,-87.75474306,36
1494125,HONG KONG RESTAURANT,,Restaurant,1,6958 N CLARK ST ,CHICAGO,IL,60626,42.00827936,-87.67394733,49
1494180,ANGEL FOOD LTD,,Restaurant,1,1636 W MONTROSE AVE ,CHICAGO,IL,60613,41.96168092,-87.67076163,47
1494225,GINAS CUISINE II,,Restaurant,1,424 S WABASH AVE ,CHICAGO,IL,60605,41.87635127,-87.6261892,4
1494240,MI MEXICO GROCERY,,Grocery Store,2,2601 W 59TH ST ,CHICAGO,IL,60629,41.78637634,-87.68877651,16
1494258,TAQUERIA CALIFORNIA,,Restaurant,1,6445 S CICERO AVE ,CHICAGO,IL,60638,41.77526935,-87.74203845,13
1494322,MASTSUYA JAPANESE RESTAURANT,,,1,3469-3471 N CLARK ST ,CHICAGO,IL,60657,41.94528969,-87.65480375,44
1494344,55TH GAS STATION INC.,MARATHON,Grocery Store,3,5456 S PULASKI RD ,CHICAGO,IL,60632,41.79335091,-87.72331143,23
